bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
17,72,2880,1568,77,18,0,1,1,5.0
18,72,2880,1568,77,18,0,1,1,5.04
2,72,2880,1568,77,18,0,1,2,2.71
3,72,2880,1568,77,18,0,1,2,2.98
4,72,2880,1568,77,18,0,1,2,3.24
5,72,2880,1568,77,18,0,1,2,3.49
6,72,2880,1568,77,18,0,1,2,3.71
7,72,2880,1568,77,18,0,1,2,3.92
8,72,2880,1568,77,18,0,1,2,4.12
9,72,2880,1568,77,18,0,1,2,4.3
10,72,2880,1568,77,18,0,1,2,4.47
11,72,2880,1568,77,18,0,1,2,4.61
12,72,2880,1568,77,18,0,1,2,4.75
13,72,2880,1568,77,18,0,1,2,4.87
14,72,2880,1568,77,18,0,1,2,4.97
15,72,2880,1568,77,18,0,1,2,5.06
16,72,2880,1568,77,18,0,1,2,5.13
17,72,2880,1568,77,18,0,1,2,5.18
18,72,2880,1568,77,18,0,1,2,5.22
2,72,2880,1568,77,18,0,1,3,2.78
3,72,2880,1568,77,18,0,1,3,3.07
4,72,2880,1568,77,18,0,1,3,3.33
5,72,2880,1568,77,18,0,1,3,3.59
6,72,2880,1568,77,18,0,1,3,3.82
7,72,2880,1568,77,18,0,1,3,4.05
8,72,2880,1568,77,18,0,1,3,4.25
9,72,2880,1568,77,18,0,1,3,4.44
10,72,2880,1568,77,18,0,1,3,4.61
11,72,2880,1568,77,18,0,1,3,4.77
12,72,2880,1568,77,18,0,1,3,4.91
13,72,2880,1568,77,18,0,1,3,5.03
14,72,2880,1568,77,18,0,1,3,5.14
15,72,2880,1568,77,18,0,1,3,5.23
16,72,2880,1568,77,18,0,1,3,5.3
17,72,2880,1568,77,18,0,1,3,5.36
18,72,2880,1568,77,18,0,1,3,5.4
2,72,2880,1568,77,21,0,0,1,2.67
3,72,2880,1568,77,21,0,0,1,2.95
4,72,2880,1568,77,21,0,0,1,3.21
5,72,2880,1568,77,21,0,0,1,3.46
6,72,2880,1568,77,21,0,0,1,3.69
7,72,2880,1568,77,21,0,0,1,3.9
8,72,2880,1568,77,21,0,0,1,4.1
9,72,2880,1568,77,21,0,0,1,4.28
10,72,2880,1568,77,21,0,0,1,4.45
11,72,2880,1568,77,21,0,0,1,4.6
12,72,2880,1568,77,21,0,0,1,4.74
13,72,2880,1568,77,21,0,0,1,4.86
14,72,2880,1568,77,21,0,0,1,4.96
15,72,2880,1568,77,21,0,0,1,5.05
16,72,2880,1568,77,21,0,0,1,5.12
17,72,2880,1568,77,21,0,0,1,5.18
18,72,2880,1568,77,21,0,0,1,5.22
19,72,2880,1568,77,21,0,0,1,5.24
20,72,2880,1568,77,21,0,0,1,5.25
21,72,2880,1568,77,21,0,0,1,5.25
2,72,2880,1568,77,21,0,0,2,2.71
3,72,2880,1568,77,21,0,0,2,2.99
4,72,2880,1568,77,21,0,0,2,3.26
5,72,2880,1568,77,21,0,0,2,3.51
6,72,2880,1568,77,21,0,0,2,3.74
7,72,2880,1568,77,21,0,0,2,3.96
8,72,2880,1568,77,21,0,0,2,4.16
9,72,2880,1568,77,21,0,0,2,4.35
10,72,2880,1568,77,21,0,0,2,4.51
11,72,2880,1568,77,21,0,0,2,4.67
12,72,2880,1568,77,21,0,0,2,4.81
13,72,2880,1568,77,21,0,0,2,4.93
14,72,2880,1568,77,21,0,0,2,5.03
15,72,2880,1568,77,21,0,0,2,5.12
16,72,2880,1568,77,21,0,0,2,5.19
17,72,2880,1568,77,21,0,0,2,5.25
18,72,2880,1568,77,21,0,0,2,5.29
19,72,2880,1568,77,21,0,0,2,5.32
20,72,2880,1568,77,21,0,0,2,5.33
21,72,2880,1568,77,21,0,0,2,5.32
2,72,2880,1568,77,21,0,0,3,2.74
3,72,2880,1568,77,21,0,0,3,3.02
4,72,2880,1568,77,21,0,0,3,3.29
5,72,2880,1568,77,21,0,0,3,3.54
6,72,2880,1568,77,21,0,0,3,3.77
7,72,2880,1568,77,21,0,0,3,3.99
8,72,2880,1568,77,21,0,0,3,4.19
9,72,2880,1568,77,21,0,0,3,4.38
10,72,2880,1568,77,21,0,0,3,4.54
11,72,2880,1568,77,21,0,0,3,4.7
12,72,2880,1568,77,21,0,0,3,4.84
13,72,2880,1568,77,21,0,0,3,4.96
14,72,2880,1568,77,21,0,0,3,5.06
15,72,2880,1568,77,21,0,0,3,5.15
16,72,2880,1568,77,21,0,0,3,5.22
17,72,2880,1568,77,21,0,0,3,5.28
18,72,2880,1568,77,21,0,0,3,5.32
19,72,2880,1568,77,21,0,0,3,5.35
20,72,2880,1568,77,21,0,0,3,5.36
21,72,2880,1568,77,21,0,0,3,5.35
2,72,2880,1568,77,21,0,1,1,2.75
3,72,2880,1568,77,21,0,1,1,3.03
4,72,2880,1568,77,21,0,1,1,3.29
5,72,2880,1568,77,21,0,1,1,3.54
6,72,2880,1568,77,21,0,1,1,3.77
7,72,2880,1568,77,21,0,1,1,3.98
8,72,2880,1568,77,21,0,1,1,4.18
9,72,2880,1568,77,21,0,1,1,4.36
10,72,2880,1568,77,21,0,1,1,4.53
11,72,2880,1568,77,21,0,1,1,4.68
12,72,2880,1568,77,21,0,1,1,4.82
13,72,2880,1568,77,21,0,1,1,4.94
14,72,2880,1568,77,21,0,1,1,5.04
15,72,2880,1568,77,21,0,1,1,5.13
16,72,2880,1568,77,21,0,1,1,5.2
17,72,2880,1568,77,21,0,1,1,5.26
18,72,2880,1568,77,21,0,1,1,5.3
19,72,2880,1568,77,21,0,1,1,5.33
20,72,2880,1568,77,21,0,1,1,5.34
21,72,2880,1568,77,21,0,1,1,5.33
2,72,2880,1568,77,21,0,1,2,2.78
3,72,2880,1568,77,21,0,1,2,3.06
4,72,2880,1568,77,21,0,1,2,3.32
5,72,2880,1568,77,21,0,1,2,3.57
6,72,2880,1568,77,21,0,1,2,3.8
7,72,2880,1568,77,21,0,1,2,4.02
8,72,2880,1568,77,21,0,1,2,4.22
9,72,2880,1568,77,21,0,1,2,4.4
10,72,2880,1568,77,21,0,1,2,4.57
11,72,2880,1568,77,21,0,1,2,4.73
12,72,2880,1568,77,21,0,1,2,4.86
13,72,2880,1568,77,21,0,1,2,4.98
14,72,2880,1568,77,21,0,1,2,5.09
15,72,2880,1568,77,21,0,1,2,5.18
16,72,2880,1568,77,21,0,1,2,5.25
17,72,2880,1568,77,21,0,1,2,5.31
18,72,2880,1568,77,21,0,1,2,5.35
19,72,2880,1568,77,21,0,1,2,5.37
20,72,2880,1568,77,21,0,1,2,5.38
21,72,2880,1568,77,21,0,1,2,5.37
2,72,2880,1568,77,21,0,1,3,2.75
3,72,2880,1568,77,21,0,1,3,3.02
4,72,2880,1568,77,21,0,1,3,3.27
5,72,2880,1568,77,21,0,1,3,3.51
6,72,2880,1568,77,21,0,1,3,3.73
7,72,2880,1568,77,21,0,1,3,3.94
8,72,2880,1568,77,21,0,1,3,4.13
9,72,2880,1568,77,21,0,1,3,4.31
10,72,2880,1568,77,21,0,1,3,4.47
11,72,2880,1568,77,21,0,1,3,4.61
12,72,2880,1568,77,21,0,1,3,4.74
13,72,2880,1568,77,21,0,1,3,4.86
14,72,2880,1568,77,21,0,1,3,4.96
15,72,2880,1568,77,21,0,1,3,5.04
16,72,2880,1568,77,21,0,1,3,5.11
17,72,2880,1568,77,21,0,1,3,5.17
18,72,2880,1568,77,21,0,1,3,5.21
19,72,2880,1568,77,21,0,1,3,5.23
20,72,2880,1568,77,21,0,1,3,5.24
21,72,2880,1568,77,21,0,1,3,5.23
2,72,2880,1568,77,26,0,0,1,2.69
3,72,2880,1568,77,26,0,0,1,2.97
4,72,2880,1568,77,26,0,0,1,3.23
5,72,2880,1568,77,26,0,0,1,3.48
6,72,2880,1568,77,26,0,0,1,3.71
7,72,2880,1568,77,26,0,0,1,3.93
8,72,2880,1568,77,26,0,0,1,4.13
9,72,2880,1568,77,26,0,0,1,4.31
10,72,2880,1568,77,26,0,0,1,4.48
11,72,2880,1568,77,26,0,0,1,4.63
12,72,2880,1568,77,26,0,0,1,4.77
13,72,2880,1568,77,26,0,0,1,4.89
14,72,2880,1568,77,26,0,0,1,5.0
15,72,2880,1568,77,26,0,0,1,5.08
16,72,2880,1568,77,26,0,0,1,5.16
17,72,2880,1568,77,26,0,0,1,5.21
18,72,2880,1568,77,26,0,0,1,5.25
19,72,2880,1568,77,26,0,0,1,5.28
20,72,2880,1568,77,26,0,0,1,5.29
21,72,2880,1568,77,26,0,0,1,5.28
22,72,2880,1568,77,26,0,0,1,5.26
23,72,2880,1568,77,26,0,0,1,5.22
24,72,2880,1568,77,26,0,0,1,5.16
25,72,2880,1568,77,26,0,0,1,5.09
26,72,2880,1568,77,26,0,0,1,5.01
2,72,2880,1568,77,26,0,0,2,2.72
3,72,2880,1568,77,26,0,0,2,3.0
4,72,2880,1568,77,26,0,0,2,3.27
5,72,2880,1568,77,26,0,0,2,3.52
6,72,2880,1568,77,26,0,0,2,3.75
7,72,2880,1568,77,26,0,0,2,3.97
8,72,2880,1568,77,26,0,0,2,4.17
9,72,2880,1568,77,26,0,0,2,4.36
10,72,2880,1568,77,26,0,0,2,4.52
11,72,2880,1568,77,26,0,0,2,4.68
12,72,2880,1568,77,26,0,0,2,4.82
13,72,2880,1568,77,26,0,0,2,4.94
14,72,2880,1568,77,26,0,0,2,5.04
15,72,2880,1568,77,26,0,0,2,5.13
16,72,2880,1568,77,26,0,0,2,5.2
17,72,2880,1568,77,26,0,0,2,5.26
18,72,2880,1568,77,26,0,0,2,5.3
19,72,2880,1568,77,26,0,0,2,5.33
20,72,2880,1568,77,26,0,0,2,5.34
21,72,2880,1568,77,26,0,0,2,5.33
22,72,2880,1568,77,26,0,0,2,5.31
23,72,2880,1568,77,26,0,0,2,5.27
24,72,2880,1568,77,26,0,0,2,5.21
25,72,2880,1568,77,26,0,0,2,5.14
26,72,2880,1568,77,26,0,0,2,5.05
2,72,2880,1568,77,26,0,0,3,2.74
3,72,2880,1568,77,26,0,0,3,3.02
4,72,2880,1568,77,26,0,0,3,3.29
5,72,2880,1568,77,26,0,0,3,3.54
6,72,2880,1568,77,26,0,0,3,3.77
7,72,2880,1568,77,26,0,0,3,3.99
8,72,2880,1568,77,26,0,0,3,4.19
