bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
17,72,2880,1568,77,18,0,1,1,4.87
18,72,2880,1568,77,18,0,1,1,4.9
2,72,2880,1568,77,18,0,1,2,3.3
3,72,2880,1568,77,18,0,1,2,3.47
4,72,2880,1568,77,18,0,1,2,3.63
5,72,2880,1568,77,18,0,1,2,3.78
6,72,2880,1568,77,18,0,1,2,3.92
7,72,2880,1568,77,18,0,1,2,4.06
8,72,2880,1568,77,18,0,1,2,4.18
9,72,2880,1568,77,18,0,1,2,4.29
10,72,2880,1568,77,18,0,1,2,4.4
11,72,2880,1568,77,18,0,1,2,4.49
12,72,2880,1568,77,18,0,1,2,4.58
13,72,2880,1568,77,18,0,1,2,4.65
14,72,2880,1568,77,18,0,1,2,4.72
15,72,2880,1568,77,18,0,1,2,4.78
16,72,2880,1568,77,18,0,1,2,4.82
17,72,2880,1568,77,18,0,1,2,4.86
18,72,2880,1568,77,18,0,1,2,4.89
2,72,2880,1568,77,18,0,1,3,3.26
3,72,2880,1568,77,18,0,1,3,3.42
4,72,2880,1568,77,18,0,1,3,3.58
5,72,2880,1568,77,18,0,1,3,3.73
6,72,2880,1568,77,18,0,1,3,3.86
7,72,2880,1568,77,18,0,1,3,3.99
8,72,2880,1568,77,18,0,1,3,4.11
9,72,2880,1568,77,18,0,1,3,4.22
10,72,2880,1568,77,18,0,1,3,4.32
11,72,2880,1568,77,18,0,1,3,4.41
12,72,2880,1568,77,18,0,1,3,4.49
13,72,2880,1568,77,18,0,1,3,4.57
14,72,2880,1568,77,18,0,1,3,4.63
15,72,2880,1568,77,18,0,1,3,4.69
16,72,2880,1568,77,18,0,1,3,4.73
17,72,2880,1568,77,18,0,1,3,4.77
18,72,2880,1568,77,18,0,1,3,4.8
2,72,2880,1568,77,21,0,0,1,3.2
3,72,2880,1568,77,21,0,0,1,3.36
4,72,2880,1568,77,21,0,0,1,3.51
5,72,2880,1568,77,21,0,0,1,3.65
6,72,2880,1568,77,21,0,0,1,3.78
7,72,2880,1568,77,21,0,0,1,3.91
8,72,2880,1568,77,21,0,0,1,4.02
9,72,2880,1568,77,21,0,0,1,4.13
10,72,2880,1568,77,21,0,0,1,4.22
11,72,2880,1568,77,21,0,0,1,4.31
12,72,2880,1568,77,21,0,0,1,4.39
13,72,2880,1568,77,21,0,0,1,4.46
14,72,2880,1568,77,21,0,0,1,4.52
15,72,2880,1568,77,21,0,0,1,4.57
16,72,2880,1568,77,21,0,0,1,4.62
17,72,2880,1568,77,21,0,0,1,4.65
18,72,2880,1568,77,21,0,0,1,4.68
19,72,2880,1568,77,21,0,0,1,4.69
20,72,2880,1568,77,21,0,0,1,4.7
21,72,2880,1568,77,21,0,0,1,4.7
2,72,2880,1568,77,21,0,0,2,3.24
3,72,2880,1568,77,21,0,0,2,3.4
4,72,2880,1568,77,21,0,0,2,3.55
5,72,2880,1568,77,21,0,0,2,3.7
6,72,2880,1568,77,21,0,0,2,3.83
7,72,2880,1568,77,21,0,0,2,3.95
8,72,2880,1568,77,21,0,0,2,4.07
9,72,2880,1568,77,21,0,0,2,4.18
10,72,2880,1568,77,21,0,0,2,4.27
11,72,2880,1568,77,21,0,0,2,4.36
12,72,2880,1568,77,21,0,0,2,4.44
13,72,2880,1568,77,21,0,0,2,4.51
14,72,2880,1568,77,21,0,0,2,4.58
15,72,2880,1568,77,21,0,0,2,4.63
16,72,2880,1568,77,21,0,0,2,4.67
17,72,2880,1568,77,21,0,0,2,4.71
18,72,2880,1568,77,21,0,0,2,4.74
19,72,2880,1568,77,21,0,0,2,4.75
20,72,2880,1568,77,21,0,0,2,4.76
21,72,2880,1568,77,21,0,0,2,4.76
2,72,2880,1568,77,21,0,0,3,3.24
3,72,2880,1568,77,21,0,0,3,3.4
4,72,2880,1568,77,21,0,0,3,3.55
5,72,2880,1568,77,21,0,0,3,3.69
6,72,2880,1568,77,21,0,0,3,3.82
7,72,2880,1568,77,21,0,0,3,3.95
8,72,2880,1568,77,21,0,0,3,4.06
9,72,2880,1568,77,21,0,0,3,4.17
10,72,2880,1568,77,21,0,0,3,4.26
11,72,2880,1568,77,21,0,0,3,4.35
12,72,2880,1568,77,21,0,0,3,4.43
13,72,2880,1568,77,21,0,0,3,4.5
14,72,2880,1568,77,21,0,0,3,4.56
15,72,2880,1568,77,21,0,0,3,4.61
16,72,2880,1568,77,21,0,0,3,4.66
17,72,2880,1568,77,21,0,0,3,4.69
18,72,2880,1568,77,21,0,0,3,4.72
19,72,2880,1568,77,21,0,0,3,4.73
20,72,2880,1568,77,21,0,0,3,4.74
21,72,2880,1568,77,21,0,0,3,4.74
2,72,2880,1568,77,21,0,1,1,3.33
3,72,2880,1568,77,21,0,1,1,3.51
4,72,2880,1568,77,21,0,1,1,3.67
5,72,2880,1568,77,21,0,1,1,3.83
6,72,2880,1568,77,21,0,1,1,3.98
7,72,2880,1568,77,21,0,1,1,4.11
8,72,2880,1568,77,21,0,1,1,4.24
9,72,2880,1568,77,21,0,1,1,4.36
10,72,2880,1568,77,21,0,1,1,4.46
