bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,SI,TI,pred
4,72,2880,1568,77,6,0,0,3,35.72,24.41,2.88
5,72,2880,1568,77,6,0,0,3,35.72,24.41,2.88
6,72,2880,1568,77,6,0,0,3,35.72,24.41,2.89
2,72,2880,1568,77,6,0,0,3,48.04,40.5,2.92
3,72,2880,1568,77,6,0,0,3,48.04,40.5,2.92
4,72,2880,1568,77,6,0,0,3,48.04,40.5,2.92
5,72,2880,1568,77,6,0,0,3,48.04,40.5,2.92
6,72,2880,1568,77,6,0,0,3,48.04,40.5,2.92
2,72,2880,1568,77,6,0,0,3,45.27,37.92,2.91
3,72,2880,1568,77,6,0,0,3,45.27,37.92,2.91
4,72,2880,1568,77,6,0,0,3,45.27,37.92,2.91
5,72,2880,1568,77,6,0,0,3,45.27,37.92,2.91
6,72,2880,1568,77,6,0,0,3,45.27,37.92,2.92
2,72,2880,1568,77,6,0,1,1,35.72,24.41,3.21
3,72,2880,1568,77,6,0,1,1,35.72,24.41,3.21
4,72,2880,1568,77,6,0,1,1,35.72,24.41,3.21
5,72,2880,1568,77,6,0,1,1,35.72,24.41,3.21
6,72,2880,1568,77,6,0,1,1,35.72,24.41,3.22
2,72,2880,1568,77,6,0,1,1,48.04,40.5,3.31
3,72,2880,1568,77,6,0,1,1,48.04,40.5,3.31
4,72,2880,1568,77,6,0,1,1,48.04,40.5,3.31
5,72,2880,1568,77,6,0,1,1,48.04,40.5,3.31
6,72,2880,1568,77,6,0,1,1,48.04,40.5,3.31
2,72,2880,1568,77,6,0,1,1,45.27,37.92,3.26
3,72,2880,1568,77,6,0,1,1,45.27,37.92,3.26
4,72,2880,1568,77,6,0,1,1,45.27,37.92,3.26
5,72,2880,1568,77,6,0,1,1,45.27,37.92,3.26
6,72,2880,1568,77,6,0,1,1,45.27,37.92,3.27
2,72,2880,1568,77,6,0,1,2,35.72,24.41,3.18
3,72,2880,1568,77,6,0,1,2,35.72,24.41,3.18
4,72,2880,1568,77,6,0,1,2,35.72,24.41,3.18
5,72,2880,1568,77,6,0,1,2,35.72,24.41,3.18
6,72,2880,1568,77,6,0,1,2,35.72,24.41,3.19
2,72,2880,1568,77,6,0,1,2,48.04,40.5,3.29
3,72,2880,1568,77,6,0,1,2,48.04,40.5,3.29
4,72,2880,1568,77,6,0,1,2,48.04,40.5,3.29
5,72,2880,1568,77,6,0,1,2,48.04,40.5,3.29
6,72,2880,1568,77,6,0,1,2,48.04,40.5,3.3
2,72,2880,1568,77,6,0,1,2,45.27,37.92,3.23
3,72,2880,1568,77,6,0,1,2,45.27,37.92,3.23
4,72,2880,1568,77,6,0,1,2,45.27,37.92,3.23
5,72,2880,1568,77,6,0,1,2,45.27,37.92,3.23
6,72,2880,1568,77,6,0,1,2,45.27,37.92,3.24
2,72,2880,1568,77,6,0,1,3,35.72,24.41,3.08
3,72,2880,1568,77,6,0,1,3,35.72,24.41,3.08
4,72,2880,1568,77,6,0,1,3,35.72,24.41,3.08
5,72,2880,1568,77,6,0,1,3,35.72,24.41,3.08
6,72,2880,1568,77,6,0,1,3,35.72,24.41,3.09
2,72,2880,1568,77,6,0,1,3,48.04,40.5,3.18
3,72,2880,1568,77,6,0,1,3,48.04,40.5,3.18
4,72,2880,1568,77,6,0,1,3,48.04,40.5,3.18
5,72,2880,1568,77,6,0,1,3,48.04,40.5,3.18
6,72,2880,1568,77,6,0,1,3,48.04,40.5,3.18
2,72,2880,1568,77,6,0,1,3,45.27,37.92,3.13
3,72,2880,1568,77,6,0,1,3,45.27,37.92,3.13
4,72,2880,1568,77,6,0,1,3,45.27,37.92,3.13
5,72,2880,1568,77,6,0,1,3,45.27,37.92,3.13
6,72,2880,1568,77,6,0,1,3,45.27,37.92,3.13
2,72,2880,1568,77,18,0,0,1,35.72,24.41,3.58
3,72,2880,1568,77,18,0,0,1,35.72,24.41,3.58
4,72,2880,1568,77,18,0,0,1,35.72,24.41,3.59
5,72,2880,1568,77,18,0,0,1,35.72,24.41,3.59
6,72,2880,1568,77,18,0,0,1,35.72,24.41,3.59
7,72,2880,1568,77,18,0,0,1,35.72,24.41,3.6
8,72,2880,1568,77,18,0,0,1,35.72,24.41,3.6
9,72,2880,1568,77,18,0,0,1,35.72,24.41,3.6
10,72,2880,1568,77,18,0,0,1,35.72,24.41,3.61
11,72,2880,1568,77,18,0,0,1,35.72,24.41,3.61
12,72,2880,1568,77,18,0,0,1,35.72,24.41,3.61
13,72,2880,1568,77,18,0,0,1,35.72,24.41,3.62
14,72,2880,1568,77,18,0,0,1,35.72,24.41,3.62
15,72,2880,1568,77,18,0,0,1,35.72,24.41,3.63
16,72,2880,1568,77,18,0,0,1,35.72,24.41,3.63
17,72,2880,1568,77,18,0,0,1,35.72,24.41,3.63
18,72,2880,1568,77,18,0,0,1,35.72,24.41,3.64
2,72,2880,1568,77,18,0,0,1,48.04,40.5,3.69
3,72,2880,1568,77,18,0,0,1,48.04,40.5,3.69
4,72,2880,1568,77,18,0,0,1,48.04,40.5,3.7
5,72,2880,1568,77,18,0,0,1,48.04,40.5,3.7
6,72,2880,1568,77,18,0,0,1,48.04,40.5,3.7
7,72,2880,1568,77,18,0,0,1,48.04,40.5,3.71
8,72,2880,1568,77,18,0,0,1,48.04,40.5,3.71
9,72,2880,1568,77,18,0,0,1,48.04,40.5,3.71
10,72,2880,1568,77,18,0,0,1,48.04,40.5,3.72
11,72,2880,1568,77,18,0,0,1,48.04,40.5,3.72
12,72,2880,1568,77,18,0,0,1,48.04,40.5,3.72
13,72,2880,1568,77,18,0,0,1,48.04,40.5,3.73
14,72,2880,1568,77,18,0,0,1,48.04,40.5,3.73
15,72,2880,1568,77,18,0,0,1,48.04,40.5,3.73
16,72,2880,1568,77,18,0,0,1,48.04,40.5,3.74
17,72,2880,1568,77,18,0,0,1,48.04,40.5,3.74
18,72,2880,1568,77,18,0,0,1,48.04,40.5,3.74
2,72,2880,1568,77,18,0,0,1,45.27,37.92,3.76
3,72,2880,1568,77,18,0,0,1,45.27,37.92,3.76
4,72,2880,1568,77,18,0,0,1,45.27,37.92,3.77
5,72,2880,1568,77,18,0,0,1,45.27,37.92,3.77
6,72,2880,1568,77,18,0,0,1,45.27,37.92,3.77
7,72,2880,1568,77,18,0,0,1,45.27,37.92,3.78
8,72,2880,1568,77,18,0,0,1,45.27,37.92,3.78
9,72,2880,1568,77,18,0,0,1,45.27,37.92,3.78
10,72,2880,1568,77,18,0,0,1,45.27,37.92,3.79
11,72,2880,1568,77,18,0,0,1,45.27,37.92,3.79
12,72,2880,1568,77,18,0,0,1,45.27,37.92,3.79
13,72,2880,1568,77,18,0,0,1,45.27,37.92,3.8
14,72,2880,1568,77,18,0,0,1,45.27,37.92,3.8
15,72,2880,1568,77,18,0,0,1,45.27,37.92,3.81
16,72,2880,1568,77,18,0,0,1,45.27,37.92,3.81
17,72,2880,1568,77,18,0,0,1,45.27,37.92,3.81
18,72,2880,1568,77,18,0,0,1,45.27,37.92,3.82
2,72,2880,1568,77,18,0,0,2,35.72,24.41,3.67
3,72,2880,1568,77,18,0,0,2,35.72,24.41,3.67
4,72,2880,1568,77,18,0,0,2,35.72,24.41,3.68
5,72,2880,1568,77,18,0,0,2,35.72,24.41,3.68
6,72,2880,1568,77,18,0,0,2,35.72,24.41,3.68
7,72,2880,1568,77,18,0,0,2,35.72,24.41,3.69
8,72,2880,1568,77,18,0,0,2,35.72,24.41,3.69
9,72,2880,1568,77,18,0,0,2,35.72,24.41,3.69
10,72,2880,1568,77,18,0,0,2,35.72,24.41,3.7
11,72,2880,1568,77,18,0,0,2,35.72,24.41,3.7
12,72,2880,1568,77,18,0,0,2,35.72,24.41,3.71
13,72,2880,1568,77,18,0,0,2,35.72,24.41,3.71
14,72,2880,1568,77,18,0,0,2,35.72,24.41,3.71
15,72,2880,1568,77,18,0,0,2,35.72,24.41,3.72
16,72,2880,1568,77,18,0,0,2,35.72,24.41,3.72
17,72,2880,1568,77,18,0,0,2,35.72,24.41,3.73
18,72,2880,1568,77,18,0,0,2,35.72,24.41,3.73
2,72,2880,1568,77,18,0,0,2,48.04,40.5,3.77
3,72,2880,1568,77,18,0,0,2,48.04,40.5,3.77
4,72,2880,1568,77,18,0,0,2,48.04,40.5,3.78
5,72,2880,1568,77,18,0,0,2,48.04,40.5,3.78
6,72,2880,1568,77,18,0,0,2,48.04,40.5,3.78
7,72,2880,1568,77,18,0,0,2,48.04,40.5,3.79
8,72,2880,1568,77,18,0,0,2,48.04,40.5,3.79
9,72,2880,1568,77,18,0,0,2,48.04,40.5,3.79
10,72,2880,1568,77,18,0,0,2,48.04,40.5,3.8
11,72,2880,1568,77,18,0,0,2,48.04,40.5,3.8
12,72,2880,1568,77,18,0,0,2,48.04,40.5,3.8
13,72,2880,1568,77,18,0,0,2,48.04,40.5,3.81
14,72,2880,1568,77,18,0,0,2,48.04,40.5,3.81
15,72,2880,1568,77,18,0,0,2,48.04,40.5,3.82
16,72,2880,1568,77,18,0,0,2,48.04,40.5,3.82
17,72,2880,1568,77,18,0,0,2,48.04,40.5,3.82
18,72,2880,1568,77,18,0,0,2,48.04,40.5,3.83
2,72,2880,1568,77,18,0,0,2,45.27,37.92,3.84
3,72,2880,1568,77,18,0,0,2,45.27,37.92,3.84
4,72,2880,1568,77,18,0,0,2,45.27,37.92,3.85
5,72,2880,1568,77,18,0,0,2,45.27,37.92,3.85
6,72,2880,1568,77,18,0,0,2,45.27,37.92,3.85
7,72,2880,1568,77,18,0,0,2,45.27,37.92,3.86
8,72,2880,1568,77,18,0,0,2,45.27,37.92,3.86
9,72,2880,1568,77,18,0,0,2,45.27,37.92,3.86
10,72,2880,1568,77,18,0,0,2,45.27,37.92,3.87
11,72,2880,1568,77,18,0,0,2,45.27,37.92,3.87
12,72,2880,1568,77,18,0,0,2,45.27,37.92,3.88
13,72,2880,1568,77,18,0,0,2,45.27,37.92,3.88
14,72,2880,1568,77,18,0,0,2,45.27,37.92,3.88
15,72,2880,1568,77,18,0,0,2,45.27,37.92,3.89
16,72,2880,1568,77,18,0,0,2,45.27,37.92,3.89
17,72,2880,1568,77,18,0,0,2,45.27,37.92,3.9
18,72,2880,1568,77,18,0,0,2,45.27,37.92,3.9
2,72,2880,1568,77,18,0,0,3,35.72,24.41,3.8
3,72,2880,1568,77,18,0,0,3,35.72,24.41,3.8
